,questions_ru
362," Именно здесь посредникам предоставляются исключительные права на продажу товара или услуги на определенной ""территории"", при этом используется очень ограниченное число посредников:"
363,Маркетинговые исследования:
364, При проведении международных маркетинговых исследований существует три типа эквивалентности. Что из перечисленного не относится к числу эквивалентностей?
365, Какой из перечисленных ниже потребительских товаров покупается относительно редко и требует от потребителей обновления своих знаний перед покупкой?
366," Какая из перечисленных ниже коммуникационных моделей описывает передачу информации по различным каналам массовой информации определенным типам людей, к которым другие члены аудитории обращаются за информацией и руководством?"
367,"Многие розничные бренды используют единый зонтичный бренд, основанный на названии организации. Это называется:"
368,Специализация - это особенность какой организационной структуры?
369,"Как вы называете стиль лидерства, который учитывает взгляды, суждения и идеи других людей?"
370,"Предположим, что доходность взаимного фонда A в годовом исчислении составляет 15%, а отклонение в сторону уменьшения - 8%. Доходность взаимного фонда B в годовом исчислении составляет 12%, а отклонение в сторону уменьшения - 5%. Безрисковая ставка составляет 2,5%. Каков коэффициент Сортино для фонда А?"
371,"Оцените коэффициент прибыльности для фирмы, которая обладает следующими характеристиками:
Продолжительность активного роста = пять лет
Темпы роста в первые пять лет = 25%
Коэффициент выплат в первые пять лет = 20%
Темпы роста через пять лет = 8%
Коэффициент выплат через пять лет = 50%
Бета = 1,0 
Безрисковая ставка = процентная ставка по облигациям = 6%
Стоимость собственного капитала = 6% + 1(5.5%) = 11.5%
Премия за риск = 5,5%
Каков предполагаемый коэффициент доходности для этой фирмы?"
372,"Какова текущая стоимость трех платежей по 1000 долларов США в конце каждого года с 7%-ной нормой доходности, если первый платеж будет произведен в конце пятого года?"
373,"Если спотовые ставки на 1 и 2 года составляют $s_1=6,3% и $s_2=6,9%, то какова форвардная ставка $f_{1,2}?"
374,"Учитывая следующие процентные ставки спот:
Процентная ставка спот на 1 год: 5%;
Процентная ставка спот на 2 года: 6%.
 Определите годовую форвардную ставку (от 0 до 1) через год, начиная с сегодняшнего дня."
375,"Текущая цена на золото составляет 412 долларов за унцию. Стоимость хранения составляет 2 доллара за унцию в год, оплачивается ежеквартально авансом. Предполагая постоянную процентную ставку в размере 9%, которая увеличивается ежеквартально, какова теоретическая форвардная цена золота с поставкой через 9 месяцев?"
376,"Монополист может производить продукцию с постоянными средними и предельными издержками AC = MC = 5. Перед фирмой стоит кривая рыночного спроса, заданная как Q = 53 - P. Рассчитайте потребительский излишек, полученный потребителями в условиях совершенной конкуренции (где цена = предельные издержки)?"
377,15 августа мистер Лейкер приобрел годовой страховой полис со страховой премией в размере 42 долларов США. 12 октября он аннулировал его. Какую сумму ему вернули?
378,(а) Переведите 678 см в футы. (б) Переведите 316 литров в сухие пинты. (в) Переведите 50 кг в фунты.
379,"Запасы одежды в магазине Firestone на 1 августа составили 2300 долларов. В августе было приобретено новых товаров на общую сумму 1125 долларов, а объем продаж составил 3485 долларов. Если наценка на продажи составляла 18%, оцените окончательный объем запасов на 31 августа."
380,"Эванс и Кинг являются партнерами в копировальной службе. Эванс инвестировал 8 500 долларов, а Кинг - 6 500 долларов. Прибыль за год составила 9 600 долларов. Если партнеры договорились разделить прибыль и убытки в соответствии с их первоначальными инвестициями, то как была распределена прибыль?"
381,"Какова чистая цена кровати, которая продается по прейскуранту в 300 долларов со скидкой сначала 30%, а затем 20%?"
382,"Какова общая стоимость отправки заказным письмом в зарубежную страну письма весом 3 грамма, содержащего документы стоимостью 225 долларов, весом 3 грамма? Почтовые тарифы за рубежом составляют 31 цент за каждую (1/2) унцию, но не более 2 унций, и 26 долларов за каждую дополнительную (1/2) унцию. Регистрационный сбор за письмо стоимостью 225 долларов составляет 2,60 доллара."
383,"Кредит в размере 1262,77 долларов США выдан 15 марта и погашен 12 августа. Если процентная ставка составляет 8% годовых, какова сумма процентов? (укажите точное время)"
384,"Магазин мебели Jones House приобрел товары, указанные в приведенном ниже счете-фактуре, у компании Howard Hardware Company 3 августа. Стоимость всей покупки по прейскуранту составляет 165,06 долларов США. Это было сделано со скидкой в 8% и 5% соответственно, чтобы получить чистую цену в 144,27 доллара. При оплате этой суммы действуют скидки (3/10) и (n/60). (а) Сколько заплатит компания Jones Furnitures, если оплата будет произведена 12 августа? (б) Какой будет оплата, если она будет произведена 14 августа? СЧЕТ-ФАКТУРА Фрэнка Джонса Буффало, Нью-Йорк, 3 августа 19 __ Магазин мебели Jones House, Сент-Луис, Миссури, Куплен у компании HOWARD HARDWARE COMPANY Условия: БУФФАЛО, НЬЮ-ЙОРК, 14202, 3/10, n/60, 3(1/4) разд. Петли для ремня безопасности № S. H. 92 при цене 8,28 $ 26,91 18 унций. Болты крепления № C. B. 1337 при цене 5,65 101,70 9 унций. Кг. (1/4) Реки № W. B. 30 @1.45 13.05 15 доз. кг. Steel Rivers № F. S. 17 При цене 1,56 23,40 $165,06 Минус 8% и 5% соответственно 20,79 $144,27"
385,"Найдите 4 (3/4) % от 24,85 долларов."
386,"Какова разница в стоимости между тремя последовательными однолетними полисами и трехлетним полисом страхования на сумму 28 000 долларов, если ставка составляет 23 доллара за 100 долларов?"
387,"Какова норма доходности привилегированных акций с доходностью 5(1/2) %, номинальной стоимостью 50 долларов, которые продаются по цене 52(3/4) доллара. Укажите ближайший (1/10) процент."
388,"Объясните, что означает термин (7/10) МНВ."
389,"Компания Motorolla Electronics, проводя инвентаризацию, обнаружила, что у нее в наличии имеется 30 виджетов. В отчетах компании содержится следующая информация: Стоимость количества за единицу товара, закупка за 2,6 декабря на 2,30 доллара, Закупка за 15 января на 352 доллара на 2,50 доллара, закупка за 4 февраля на 101 доллар на 2,20 доллара, закупка за 14 февраля на 645 долларов на 2,00 доллара Найдите стоимость виджетов в их инвентаре с помощью метода LIFO."
390,"Семья Лайонс подсчитала, что 20% ее чистого дохода еженедельно тратится на еду. Если миссис Лайонс потратила 36 долларов на покупку продуктов на прошлой неделе, каков был чистый доход семьи за эту неделю?"
391,"Компания X желает приобрести либо компанию A, либо компанию B, но не обе сразу. Следующие данные доступны и охватывают операции за прошлый год. Компания A Компания B Общие активы $1 000 000 $2 000 000 Объем продаж 3 000 000 5 000 000 Валовая прибыль 300 000 750 000 Чистая прибыль 96 000 272 000 Какую компанию следует приобрести компании X при соблюдении следующих условий? (а) У компании X сильная администрация, но слабые продажи. (б) У компании X сильный отдел продаж, но слабая администрация. (в) Компания X стремится к краткосрочному увеличению своей прибыли."
392,"Винни хочет продать товар, который обошелся ему в 18,20 долларов, с наценкой в 40% от цены продажи. Какова его цена продажи?"
393,"Мистер Эд Уильямс, владелец службы доставки газет, купил в рассрочку новый грузовик для своего бизнеса. Соответствующая информация приведена ниже: Цена грузовика 3000 долларов, дополнительное оборудование 240 долларов, налог с продаж 5%, страховка 60 долларов, залог наличными 500 долларов, пособие на подержанный автомобиль 732 доллара. Предположим, что расходы на финансирование составляют 5%, найдите сумму, которую необходимо профинансировать, и определите сумму, которую необходимо выплачивать каждый месяц для погашения задолженности. грузовик за один год"
394,"25 октября Ральф Маффет получил чек на 620 долларов, который был датирован 10 октября и подлежал оплате через 3 месяца после предъявления. 16 ноября он был продан со скидкой в размере 4 (1/2)%. Банк взимает комиссию в размере (1/8)% от суммы платежа. Найдите доходы от драфта."
395,"Р. Крузо производит продукт стоимостью 1000 долларов. Он платит 750 долларов заработной платы и материалов, 125 долларов процентов и 75 долларов арендной платы. Какова должна быть его прибыль? Рассчитайте NNP с помощью методов верхнего и нижнего контуров и покажите, что они должны точно совпадать."
396,"Вас наняли покрасить стены и потолок в комнате 14' × 12' × 8(1/2)%'. Вы знаете, что стоимость краски составляет 6,50 долларов за галлон, которого хватит на покрытие 425 кв. футов, или 1,85 доллара за кварту. Как вы определяете стоимость краски?"
397,"Общий бюджет деревни Линбрук на текущий год составляет 125 626,79 долларов. За счет штрафов и выдачи лицензий деревня рассчитывает выручить 4 256,30 долларов. Если общая оценочная стоимость недвижимости в Линбруке составляет 2 697 112 долларов, какова ставка городского налога в долларах за 1000 долларов?"
398,"Электрогитара стоимостью 90,50 долларов США была приобретена в рассрочку за 14,95 долларов США, после чего было произведено 8 ежемесячных платежей по 10 долларов каждый. Рассчитайте процентную ставку."
399,"В магазине продаются два товара по 10 долларов каждый. Один товар стоит 5,25 доллара, а другой - 6,50 доллара. Какое соотношение товаров по каждой цене должно быть приобретено, чтобы средняя наценка, основанная на цене продажи, составляла 40%?"
400,"00 часов вечера, преодолел 540 миль и прибыл в пункт назначения в 14:30. Найдите среднюю скорость самолета в милях в час."
401,"Предельные издержки производства товара равны y' = 3 + x + [(e^-x) / 4]. Во что обходится производство одного товара, если постоянные издержки составляют 4 доллара?"
402,"Решите следующие задачи. (а) Участок земли площадью 487 (1/2) акров был разбит на более мелкие участки по 3 (1/4) акра каждый. Найдите количество образовавшихся более мелких участков. (б) 450 первокурсников поступили в среднюю школу. Из них только (2/3) закончат учебу четыре года спустя. Из тех, кто закончит учебу, (1/6) получат среднюю оценку ""А"". Найдите, сколько выпускников старших классов получат среднюю оценку ""А"". (c) Завод по производству клея ""Goreman'S"" желает расфасовать 4000 пинт клея в контейнеры вместимостью (2/3) пинты каждый. Какие могут потребоваться контейнеры?"
403,Универмаг Joe's хочет продать пальто с наценкой в 20% от продажной цены. Стоимость пальто составляет 40 долларов. Найдите их цену на продажу.
404,"Исследователь интересовался расовыми различиями в уровне жизни фермеров на юго-востоке Соединенных Штатов. Он использовал наличие водопровода в фермерских домах в качестве приблизительного показателя уровня жизни. Для каждого из 31 экономического района в Северной Каролине, Южной Каролине и Джорджии в 1945 году он рассчитал два показателя: X = количество ферм, управляемых небелыми, на 100 белых фермеров и Y = процент ферм, имеющих водопровод в жилых помещениях. Были получены следующие значения: \сумма X = 1860\сумма Y = 465\сумма XY = 23 400 \сумма X ^ 2 = 201 600\сумма Y ^ 2 = 7 925n = 31 Вычислите линию регрессии и корреляцию X и Y."
405,"Магазин хочет получить прибыль в размере 12 000 долларов при продажах в размере 200 000 долларов. Найдите необходимую процентную надбавку к цене продажи, если расходы составят 56 000 долларов, уценка - 15 000 долларов, недостача - 5000 долларов, затраты на переделку - 2500 долларов, а скидки наличными, полученные от поставщиков, - 4500 долларов."
406,"Джим Дагни работает продавцом в компании Beeswax Co. Его еженедельные продажи составляют в среднем 2000 долларов, а средний недельный заработок (зарплата плюс комиссионные) - 120 долларов. Найдите процент от себестоимости продаж."
407,"Используя график ставок из предыдущей задачи, найдите стоимость 6 рекламных объявлений на полстраницы."
408,"Вы рассматриваете возможность приобретения машины, которая будет приносить вам ежегодный доход в размере 1000 долларов в год в течение 20 лет. Доход будет поступать равномерно и непрерывно на протяжении многих лет. Сколько вы можете заплатить за станок и при этом получать по крайней мере 10-процентную эффективную годовую отдачу от ваших инвестиций в станок?"
409,"Питер купил пишущую машинку за 125 долларов, без учета скидки в 5%. Государственный налог с продаж составлял 4,5%, а городской - 2,5%. Сколько заплатил Питер?"
410,"Какова была стоимость, включая начисленные проценты, трех облигаций стоимостью 1000 долларов с выплатой 6% годовых 1 января и 1 июля, приобретенных 30 августа по цене 102. Предположим, что брокерское вознаграждение составляет 5 долларов за облигацию."
411,"Автомобильный дилер хочет продать в рассрочку один из своих подержанных автомобилей стоимостью 1260 долларов. Первоначальный взнос не требуется, но с неоплаченного остатка взимается плата за обслуживание в размере 6% в год. Кроме того, взимается комиссия в размере 20 долларов для покрытия судебных издержек. Если за автомобиль необходимо выплачивать 18 ежемесячных платежей, сколько должен составлять каждый ежемесячный платеж?"
412,"Мистер Стадес создал амортизационный фонд, который требует внесения депозитов в размере 1000 долларов США в течение 20 лет по годовой ставке 3 (1/2) процента. Какова стоимость фонда по истечении пятнадцати лет?"
413,"Лоретте Гулд предложили должность менеджера по продажам в нефтяной компании Хьюстона. По оценкам ее менеджера, объем продаж в первый год составит около 80 000 долларов. Она может согласиться на один из двух графиков оплаты: (1) зарплата в размере 8000 долларов плюс комиссионные в размере 1% от продаж или (2) зарплата в размере 5800 долларов плюс комиссионные в размере 5% от продаж свыше 30 000 долларов. Какой график оплаты лучше? Насколько он лучше?"
414,"Отдел бизнес-образования средней школы Эдисона купил 24 новые пишущие машинки по цене 350 долларов каждая. Предполагая, что расчетный срок службы пишущих машинок составляет четыре года, после чего стоимость каждой из них, как ожидается, составит 75 долларов США, (а) какова годовая амортизация каждой пишущей машинки при использовании линейного метода (амортизация)? (б) Ежемесячная амортизация каждой из них? (c) Годовая норма амортизации для каждого из них в течение первого года? (d) Балансовая стоимость каждого из них на конец третьего года?"
415,"Мистер Уайт получил сумму в размере 972,50 долларов США от кредитной компании ABC. Если он подписал кредитное соглашение о выплате 1000 долларов США кредитной компании по истечении 180 дней, какова ставка дисконтирования по кредиту?"
416,"Каждый месяц из зарплаты мистера Уильямса вычитается 20 долларов, которые автоматически зачисляются на его сберегательный счет. Если на сберегательном счете указаны проценты в размере 5 3/4%, сколько ежемесячных депозитов добавится к его счету через 3 месяца?"
417,"Мистер и миссис Голден только что купили новый дом. Продав свой собственный дом, они обнаружили, что им все еще нужны дополнительные 18 000 долларов, чтобы заплатить за новый дом. Они берут взаймы 18 000 долларов под 6% годовых сроком на 20 лет. Каков первый ежемесячный платеж по их кредиту?"
418,"Универмаг Redding распределяет свои административные расходы по методу соотношения продаж. Если общий объем продаж в июне составил 408 000 долларов, а административные расходы - 22 600 долларов, найдите долю административных расходов, основанную на продажах отдела нижнего белья, объем продаж которого в июне составил 10 200 долларов."
419,"3 марта компания ""Барнс и сыновья"" застраховала свои офисы с годовой премией в размере 130 долларов США. 15 октября перевозчик аннулировал полис. Какова сумма возмещения, причитающаяся ""Барнс и сыновьям""?"
420,Стоимость одной печатной строки agate в Daily Planet составляет 4 доллара. Тираж издания составляет 2 миллиона экземпляров. Что такое миллионная серия?
421,"Хотя максимизация корпоративной прибыли напрямую не предписывается основными нормативными теориями, на какую нормативную теорию она больше всего похожа?"
422,"Традиционно права потребителей основывались на понятии _______ или _________, когда ответственность за отказ от некачественных продуктов лежала на потребителе. Однако, это постепенно разрушаются из-за возросшей ________ на ________, ЕС и ООН."
423,"Замена цепи питания с _______ увеличивает важность продукта _______а также фундаментальное переустройство каждого вида деятельности фирма занимается, что производит _______."
424,"АИДА означает осознанность, ________, желание и _________."
425," Эта стратегия брендинга, которую когда-то называли мультибрендовой политикой, требует, чтобы каждый продукт, предлагаемый организацией, был брендирован независимо от всех остальных. Это называется:"
426," Наше восприятие риска выше, если нам постоянно напоминают о нем, чем если мы учитываем его только в момент покупки. Это называется:"
427," Это форма таргетированной рекламы на веб-сайтах, при которой рекламные объявления выбираются и обслуживаются автоматизированными системами на основе контента, отображаемого пользователю."
428, Какой тип медиа помогает рекламодателям продемонстрировать преимущества использования того или иного продукта и может вдохнуть жизнь и энергию в сообщение рекламодателя?
429,"Компания продает свой продукт по двум разным ценам в двух разных местах. Какой из следующих видов исследований будет наиболее эффективным для определения оптимальной цены на продукт, если все остальные маркетинговые факторы останутся неизменными?"
430,"________________ отражает высокий уровень вовлеченности покупателя в принятие решения о покупке. Такие решения сопряжены с большим риском, поэтому потребители тратят много времени, внимания и энергии на поиск, формулирование и принятие окончательного решения."
431,"Конфликт между последовательными участниками дистрибьюторской сети, такими как производители, дистрибьюторы и розничные торговцы, по таким вопросам, как наличие определенного ассортимента или повышение цен, называется:"
432,"Что означает слово ""ВРЕДИТЕЛЬ""?"
433,"предположим, вы индонезиец. В 2010 году обменный курс рупии составлял около 15 000 индийских рупий за доллар США, а индекс потребительских цен в Индонезии и Соединенных Штатах составлял 100. В 2019 году обменный курс изменился и составил 14 000 индийских рупий за доллар США. Одновременно инфляция в Индонезии выросла на 5% из-за роста индекса потребительских цен до 105. Тем временем уровень инфляции в Соединенных Штатах вырос на 10% из-за роста индекса потребительских цен до 110. Каков реальный обменный курс?"
434,"В настоящее время акции компании А торгуются по цене 150 долларов за акцию, а прибыль на акцию рассчитывается как 10 долларов. Каково соотношение прибыли/убытка?"
435,"Рассмотрим форвардный контракт на 4-летнюю облигацию со сроком погашения 1 год. Текущая стоимость облигации составляет $1018,86, ее номинальная стоимость составляет $1000, а ставка купона - 10% годовых. По облигации только что был выплачен купон, а последующие купоны будут выплачены через 6 месяцев и через 1 год, непосредственно перед поставкой. Процентные ставки на 1 год остаются неизменными и составляют 8%. Рассчитайте форвардную цену облигации."
436,"Предположим, что:
Ставка спот на 1 год равна 3,%;
Ставка спот на 2 года равна 4%, и
Ставка спот на 3 года равна 5%. Какова цена 3-летней облигации номиналом 100, по которой выплачивается годовой купонный доход в размере 6%?"
437,"Какова будущая стоимость инвестиций в размере 1000 долларов, если процентная ставка составляет 8% годовых в течение 3 лет?"
438,"У инвестора есть функция полезности $U(x) = x ^ {1/4}$ для получения зарплаты. У него есть предложение о новой работе, за которое выплачивается 80 000 долларов с бонусом. Размер бонуса составит $0, $10000, $20000, $30000, $40000, $50000, или 60000 долларов, каждый из которых с равной вероятностью будет выплачен. Какова эквивалентная стоимость этого предложения о работе?"
439,"Давайте предположим, что 10-летняя годовая доходность по индексу S&P 500 (рыночный портфель) составляет 10%, в то время как средняя годовая доходность по казначейским векселям (хороший показатель безрисковой ставки) составляет 5%. Стандартное отклонение составляет 15% за 10-летний период. Каков рыночный коэффициент Шарпа?"
440,"Рассмотрим стратегию вида $(\gamma, 0, 0)$ для инвестиционного колеса. Покажите, что общий коэффициент, на который умножаются ваши деньги после n шагов, вероятно, будет равен $(1+2\gamma)^{n/2}(1-\gamma)^{n/2}$. Найдите значение $\gamma$, которое максимизирует этот коэффициент."
441,"Предположим, что принцип Блэка-Шоулза верен. Цена акции с раздельной оплатой составляет 30 долларов. Цена опциона ""пут"" на эту акцию составляет 4,00 доллара. Вам дается $(i) $\Дельта=-0,28$. (ii) $\Гамма=0,10$ Используя приближение дельта-гамма, определите цену опциона пут, если цена акции изменится до $31,50."
442,Стоимость комплекта для гонок на спидвее по прейскуранту составляет 84 доллара. Позже на него будет предоставлена скидка в размере 20% и 10% соответственно. Какова чистая цена?
443,"Прибыль VELCO Corporation для держателей обыкновенных акций составляет 5 250 долларов США. Если корпорация имеет в обращении 1 250 акций, какова прибыль VELCO на акцию?"
444,"Мистер Гриффин, 22 года, холост, пользуется своим автомобилем исключительно для удовольствия. Его страховка включает в себя ответственность за телесные повреждения от 25 до 50 лет и страхование имущества на сумму 10 000 долларов. Если мистер Гриффин проживает на территории 04 и с ним не случалось несчастных случаев, какова стоимость его страхового покрытия?"
445,"Мужчина отправил свой автомобиль в Израиль. В Соединенных Штатах его автомобиль расходовал в среднем 10 миль на галлон бензина. Теперь он хочет перевести эту цифру, чтобы сравнить эффективность своего автомобиля с израильскими автомобилями. Переведите мили на галлон в километры на литр."
446,"Джордж и Ричард Мартин, партнеры юридической фирмы, платят 6300 долларов в год за аренду. По истечении срока аренды их новая арендная плата составит 715 долларов в месяц. Какой процент увеличения они будут платить?"
447,"The Neighborhood Cooperative Market объявила о выплате дивидендов в размере 6% от инвестиций и 4 (1/2)% от патронажа. Если мистер Шварц владеет 5 акциями номинальной стоимостью 50 долларов КАЖДАЯ и получает доход в размере 983 долларов за год, каков будет общий размер его дивидендов?"
448,"Исходя из этой информации, рассчитайте: а) Коэффициент текущей ликвидности. б) Коэффициент краткосрочных активов. в) Чистый оборотный капитал. 1. Текущие активы: Текущие обязательства Денежные средства 22 150 долларов США Кредиторская задолженность 28 500 долларов США Ценные бумаги, находящиеся в обращении 16 000 Векселей к оплате 20 000 Других векселей к оплате 10 000 Дебиторская задолженность 30 450 Товарно-материальных запасов 25 000 Долларов США Итого 93 600 долларов США Итого 58 500 долларов США"
449,"Мистер Бим разместил 400 долларов в банке, который раз в полгода выплачивает 3% годовых. Сколько процентов он получил через 2 года?"
450,"Магазин подарков Maxwell's рассчитывает свои запасы по цене продажи, которая представляет собой наценку на 37 (1/2)% выше себестоимости. Если стоимость запасов на 31 декабря составляла 5954 доллара, какова была стоимость запасов по себестоимости?"
451,"Компания Bears располагала следующими данными о запасах за 19Х8 год. Стоимость единицы товара на начальном этапе инвентаризации 10 $8,00 Первая покупка 7 $ 9,00 Вторая покупка 5 $ 9,00 Третья покупка 8 $ 11,00 Четвертая покупка 4 $ 10,00 Пятая покупка 10 $ 12,00 Шестая покупка 6 $ 12,50 Проданных единиц 34 Каков конечный объем запасов с использованием: (а) средневзвешенного значения? (b) LIFO? (c) FIFO?"
452,"Исходя из приведенной ниже информации, рассчитайте чистую прибыль пекарни Spring Hills за месяц, закончившийся 30 июня: Выручка от продаж - 4 400 долларов, прибыль от продаж - 140 долларов, Товарные запасы - 1 июня, Товарные запасы - 6 500 долларов, 30 июня - 5 900 долларов, покупки в течение июня - 2 200 долларов, Расходы на зарплату - 750 долларов, Телефонные расходы - 20 долларов, Расходы на аренду 125 долларов США на прочие расходы 45 долларов США"
453,Выразите (2/5) и [1/100)] в процентах.
454,Какова чистая стоимость телевизора стоимостью 120 долларов со скидкой 30% и 20% соответственно?
455,Продажная цена пианино стоимостью 18 000 долларов составляет 22 950 долларов. Найдите процентную долю продажной цены от себестоимости.
456,"8 июня компания Danny's Furniture приобрела комплект мебели для гостиной у оптовиков Swift за 1426 долларов со скидкой (3/15), (n/30). Какова была сумма, подлежащая оплате, если оплата была произведена 22 июня?"
457,"Найдите количество дней, необходимое для того, чтобы за 1640 долларов получить проценты в размере 6,56 долларов при ставке 4%."
458,Какая процентная ставка даст 12 долларов на 1200 долларов за 90 дней?
459,"Holmes Bros, приняли чек от 10 июля на сумму 326,80 долларов США под 5% годовых, подлежащий оплате через 90 дней после даты, (а) Сколько было выплачено, если Homes Bros оплатили его в установленный срок? (b) Если бы этот чек был дисконтирован на 5(1/2)% за 30 дней до погашения и была бы взимаема комиссия за инкассацию в размере (1/4)%, каковы были бы поступления? (Предположим, что в году 360 дней)."
460,Мистер Джон Кирк занял 3000 долларов для оплаты своих счетов. Ему была начислена процентная ставка в размере 10 (1/2) % сроком на 180 дней. Сколько процентов должен будет заплатить мистер Кирк?
461,"Какова годовая стоимость полиса страхования жизни на 20 выплат в размере 4000 долларов США для 25-летнего человека, если выплаты производятся (а) ежегодно (б) раз в полгода (в) ежеквартально?"
462,"Стипендиальный фонд Argo состоит из двадцати стипендий по 1000 долларов КАЖДАЯ. Если этот фонд рассчитан на двадцать лет и годовая процентная ставка составляет 5%, какая сумма необходима для создания фонда?"
463,"Вы планируете застелить комнату коврами размером 14 на 6 дюймов и 11 на 3 дюйма. Цена составляет 11,95 долларов за кв. ярд. Предполагая, что ширина ковров составляет 15 и 12 дюймов. Какой из них более экономичен? Какова стоимость?"
