,questions_ru
605,"Что не так в транзакциях между продавцами в отношении дополнительных условий, предложенных в акцепте?"
606,"Владелец магазина спортивных товаров специализировался на продаже принадлежностей для охоты и кемпинга. Его друг часто предупреждал его, что ему не следует оставлять так много своих товаров на виду. Однажды, когда друг зашел в магазин, чтобы нанести визит, он решил привести в действие свои оставленные без внимания предупреждения, подшутив над владельцем. Приятель взял топор, лежавший на витрине, и занес его над головой, как будто собирался ударить владельца, который стоял к кассе спиной. Затем друг сказал: ""Ладно, приятель, одно неверное движение, и все кончено. "" Владелец был очень напуган тем, что его чуть не ударили топором, но не получил никакого физического или иного вреда. Если владелец подаст иск против друга, наиболее вероятным результатом будет то, что он"
607,"Обвиняемый, который был неимущим, был арестован и обвинен в хранении менее одной унции марихуаны. Согласно законодательству штата, хранение менее одной унции марихуаны является мелким правонарушением, наказуемым тюремным заключением сроком до одного года и/или штрафом в размере 500 долларов. В ходе судебного разбирательства обвиняемый не признал себя виновным и потребовал назначить адвоката, который представлял бы его интересы. Судья, рассматривавший дело, отказался удовлетворить просьбу подсудимого о предоставлении адвоката. Если подсудимый впоследствии будет признан виновным, какое из перечисленных ниже наказаний является наиболее суровым, которое может быть вынесено в соответствии с конституцией?"
608,"Мужчина находился за рулем своего автомобиля и внезапно сбил пешехода, переходившего улицу. После аварии была вызвана машина скорой помощи, и пешеход был доставлен в ближайшую больницу. Мужчина, который также ехал в больницу, подошел к пешеходу в отделении неотложной помощи, когда ей оказывали медицинскую помощь по поводу полученных травм. Когда пешеход увидела мужчину, она сказала ему: ""Ты проехал на красный свет. Ты мог меня убить.  Затем она попросила у мужчины 5000 долларов для покрытия ее предполагаемых медицинских расходов. Мужчина ответил, что ему нужно подумать об этом. Вскоре после этого мужчина отправил пешеходу письмо, в котором написал: ""Я понимаю, что проехал на красный свет. Естественно, я хотел бы уладить это дело без судебного разбирательства. Я готов оплатить все ваши медицинские расходы и выплатить вам 2000 долларов, если вы не подадите на меня в суд. ""Пешеход не принял предложение мужчины и подал на него в суд. На суде адвокат пешехода использует первое предложение письма в качестве доказательства, на что мужчина возражает. Судья, рассматривающий дело, должен принять во внимание доказательства"
609,"Трудовой кодекс штата предусматривает, что ни один работодатель в штате не должен сознательно нанимать на работу иностранца, который не проживает в Соединенных Штатах на законных основаниях, если такое трудоустройство окажет негативное влияние на право законных жителей на труд. Группе фермеров-иммигрантов подрядчики в штате постоянно отказывали в заключении трудовых договоров. Вместо этого подрядчики наняли много иностранных работников, поскольку они могли работать дольше за меньшую плату. Теперь фермеры-иммигранты подали иск в суд штата в соответствии с вышеупомянутым законодательным положением. Какие из следующих определений, скорее всего, будут приняты в результате судебного процесса против фермеров-иммигрантов?"
610,"У шеф-повара был летний коттедж на берегу озера. Чтобы облегчить доступ к коттеджу, шеф-повар заключил соглашение с соседом, владельцем прилегающего земельного участка, в соответствии с которым сосед в письменной форме предоставил шеф-повару право проезда по полосе земли шириной 30 футов и длиной четверть мили вдоль побережья. восточная окраина соседнего участка. Не поставив в известность соседа, шеф-повар приступил к улучшению дорожного полотна, заасфальтировав дорогу, чтобы сделать ее более доступной для движения автотранспорта. Несколько лет спустя сосед начал заниматься производством песка, что потребовало от него перевозки тяжелых грузов, которые впоследствии разрушили асфальтовое покрытие на дороге. Через десять лет после того, как сосед начал свой бизнес по производству песка, шеф-повар продал участок на берегу озера своему помощнику. Вскоре после того, как помощник вступил во владение коттеджем и имуществом, сосед возвел деревянные заграждения поперек проезжей части, тем самым преградив доступ к имуществу помощника. Самым сильным аргументом помощника в иске против соседа об устранении барьеров, которые препятствуют его доступу к собственности, было бы то, что"
611,"Каждый год местный клуб мальчиков и девочек спонсирует ""Золотое дно бейсбольных карточек"".  Во время трехдневного мероприятия собираются коллекционеры бейсбольных карточек, которые обмениваются старыми карточками. 12-летние мальчик и девочка из ""Бонанзы"" рассматривали карточки друг друга, когда к ним подошел 32-летний коллекционер. Коллекционер спросил мальчика и девочку, может ли он просмотреть их бейсбольные карточки. Мальчик и девочка утвердительно кивнули. Когда коллекционер просматривал открытки мальчика, он нашел открытку 1948 года с изображением Бранча Рики, бывшего владельца ""Бруклин Доджерс"". Коллекционер, который знал, что карточка стоит больше 500 долларов, предложил мальчику за нее 50 центов. Мальчик подумал, что карточка не имеет большой ценности, потому что знал, что Рики не был игроком высшей бейсбольной лиги. Мальчик взял 50 центов и отдал бейсбольную карточку Рики коллекционеру. На следующий день мальчик узнал, что бейсбольная карточка стоила 600 долларов. Если мальчик подаст иск против коллекционера за обман, выиграет ли мальчик дело?"
612,"Кэтрин Маккиннон утверждает, что, поскольку мужчины доминируют над женщинами, вопрос, в конечном счете, сводится к власти. Какое из приведенных ниже утверждений наиболее несовместимо с этим аргументом?"
613,"Донни бросил в Салли нож, намереваясь серьезно ранить ее. Однако Донни промахнулся. Салли увидела нож как раз в тот момент, когда он просвистел у нее над головой, промахнувшись примерно на дюйм. В результате Салли была очень напугана. Салли подала на Донни в суд за нападение и побои. Что из приведенного ниже наиболее верно?"
614,"Нападки Юма на законы природы основаны на его аргументе о том, что:"
615,"Нападки Юма на законы природы основаны на его аргументе о том, что:"
616,Какое утверждение наиболее полно характеризует принципиальное различие между позициями Гоббса и Локка?
617,Какое утверждение наиболее полно характеризует принципиальное различие между позициями Гоббса и Локка?
618,"В каком из следующих разделов впервые появилась идея ""естественного права"""
619,Почему важно отделять концепцию наказания от его оправдания?
620,Какое из этих утверждений лучше всего описывает Конституцию Великобритании?
621,Какое из этих утверждений лучше всего описывает Конституцию Великобритании?
622,"Является ли незаконное убийство, совершенное министром страны X за границей, деянием jure imperii или jure gestionis?"
623,"Являются ли международные договоры обязательными для третьих государств, то есть негосударственных участников?"
624,Что является основной предпосылкой для включения обычая в английское законодательство?
625,"Однажды днем пилот управлял небольшим самолетом, когда у него внезапно закончился бензин. Когда он заходил на вынужденную посадку, самолет на очень низкой высоте пересек границу соседнего штата. В это время 9-летний мальчик шел в школу, когда был сбит и травмирован предметом, который, возможно, упал с самолета. В федеральный суд отец мальчика подал иск о халатности к пилоту в защиту своего сына. В сопровождении своего отца мальчик посетил адвоката для предварительного обсуждения дела. Однако отец не нанял адвоката, который представлял бы интересы его сына в судебном процессе. Вместо этого отец нанял другого адвоката для ведения дела. На суде адвокат пилота вызывает адвоката-консультанта для дачи показаний о том, что мальчик сказал ему относительно своего физического состояния во время консультации, которую адвокат провел с мальчиком и его отцом. Показания адвоката следующие"
626,"Однажды днем пилот управлял небольшим самолетом, когда у него внезапно закончился бензин. Когда он заходил на вынужденную посадку, самолет на очень низкой высоте пересек границу соседнего штата. В это время 9-летний мальчик шел в школу, когда был сбит и травмирован предметом, который, возможно, упал с самолета. В федеральный суд отец мальчика подал иск о халатности к пилоту в защиту своего сына. В сопровождении своего отца мальчик посетил адвоката для предварительного обсуждения дела. Однако отец не нанял адвоката, который представлял бы интересы его сына в судебном процессе. Вместо этого отец нанял другого адвоката для ведения дела. На суде адвокат пилота вызывает адвоката-консультанта для дачи показаний о том, что мальчик сказал ему относительно своего физического состояния во время консультации, которую адвокат провел с мальчиком и его отцом. Показания адвоката следующие"
627,"Билл, одинокий мужчина, владел пастбищной землей в Дирвудсе, штат Флорида, которую он сдавал в аренду арендатору. Он также владел кондоминиумом в Майами, который он использовал для инвестиций. В своем завещании он завещал пастбища своему сыну Томми и кондоминиум своей дочери Джули. Все остальное имущество перешло бы поровну к Томми и Джули. Билл познакомился с Кэти и женился на ней после того, как она заключила действительный брачный контракт, отказываясь от всех прав, которыми она могла бы в противном случае обладать, выйдя замуж за Билла. Во время их медового месяца в Майами они проезжали мимо кондоминиума, и Кэти заявила, что хотела бы там жить. Билл был так счастлив с Кэти, что после медового месяца подписал и передал Кэти документ, согласно которому кондоминиум переходил к нему и Кэти в собственность в полном объеме, и планировал жить в кондоминиуме, как только арендатор освободится. Билл умер на следующий день. Как распределяются вышеупомянутые активы?"
628,"Билл, одинокий мужчина, владел пастбищной землей в Дирвудсе, штат Флорида, которую он сдавал в аренду арендатору. Он также владел кондоминиумом в Майами, который он использовал для инвестиций. В своем завещании он завещал пастбища своему сыну Томми и кондоминиум своей дочери Джули. Все остальное имущество перешло бы поровну к Томми и Джули. Билл познакомился с Кэти и женился на ней после того, как она заключила действительный брачный контракт, отказываясь от всех прав, которыми она могла бы в противном случае обладать, выйдя замуж за Билла. Во время их медового месяца в Майами они проезжали мимо кондоминиума, и Кэти заявила, что хотела бы там жить. Билл был так счастлив с Кэти, что после медового месяца подписал и передал Кэти документ, согласно которому кондоминиум переходил к нему и Кэти в собственность в полном объеме, и планировал жить в кондоминиуме, как только арендатор освободится. Билл умер на следующий день. Как распределяются вышеупомянутые активы?"
629,"Молодой человек предложил своему другу украсть телевизор с большим экраном из дома соседа. Друг разозлился на молодого человека и решил воспользоваться случаем, чтобы поквитаться с ним, арестовав его. Друг сказал, что поможет, и в ту же ночь отвез молодого человека к соседнему дому. Молодой человек вломился в дом, пока друг оставался снаружи. Друг позвонил в полицию по мобильному телефону, а затем уехал. Сотрудники полиции прибыли на место происшествия как раз в тот момент, когда молодой человек выносил телевизор через заднюю дверь. В каком преступлении виновен его друг в рамках юрисдикции общего права?"
630,"Молодой человек предложил своему другу украсть телевизор с большим экраном из дома соседа. Друг разозлился на молодого человека и решил воспользоваться случаем, чтобы поквитаться с ним, арестовав его. Друг сказал, что поможет, и в ту же ночь отвез молодого человека к соседнему дому. Молодой человек вломился в дом, пока друг оставался снаружи. Друг позвонил в полицию по мобильному телефону, а затем уехал. Сотрудники полиции прибыли на место происшествия как раз в тот момент, когда молодой человек выносил телевизор через заднюю дверь. В каком преступлении виновен его друг в рамках юрисдикции общего права?"
631,"Владелец успешно занимался розничной торговлей. Он решил, что хочет уйти на покой, и выставил свой бизнес на продажу. Покупатель увидел объявление и посетил розничный бизнес. Покупательница сказала владельцу, что она очень заинтересована в покупке бизнеса, но для финансирования покупки ей нужно получить кредит в банке. Стороны составили контракт, подписанный обеими сторонами, в котором говорилось, что покупатель согласен приобрести розничный бизнес у владельца за 250 000 долларов. Письменное соглашение содержало положение, согласно которому продажа не вступит в силу, ""если покупатель не добьется успеха в своей попытке получить кредит в банке для финансирования покупки бизнеса. ""Впоследствии покупатель не предпринял никаких попыток получить кредит в банке, чтобы завершить продажу. Через несколько месяцев владелец подал иск против покупателя за нарушение условий договора. Что из перечисленного будет самым веским аргументом владельца в поддержку его иска против покупателя за нарушение условий договора?"
632,В какой из следующих ситуаций состояние опьянения обвиняемого не могло бы свести на нет его уголовную вину?
633,В какой из следующих ситуаций состояние опьянения обвиняемого не могло бы свести на нет его уголовную вину?
634,"После того, как они выпили в баре, мужчина и его друг проехали мимо большого дома с выключенным светом. Когда мужчина сидел на пассажирском сиденье, друг остановил машину. Они были пьяны и вели себя агрессивно из-за выпитого. Обсудив это, они решили, что лучше всего будет проникнуть в дом и посмотреть, что можно взять. Они вломились в дом и забрали несколько сумок с драгоценностями. Когда они уезжали, их остановили и арестовали за кражу со взломом. Пассажир ссылался в свою защиту на то, что он был слишком пьян, чтобы иметь конкретное намерение проникнуть в дом с целью совершения в нем тяжкого преступления. Указывают ли описанные здесь факты на то, что защита, скорее всего, одержит верх при рассмотрении дела по существу?"
635,"Женщина состояла в организации, которая выступала за то, чтобы Соединенные Штаты нанесли превентивный удар по определенным зарубежным странам. Организация обычно использовала листовки и публичные выступления для пропаганды этой точки зрения, но иногда она участвовала в демонстрациях с применением насилия против посольств и консулов этих стран. Хотя женщина никогда не участвовала в демонстрациях с применением насилия, она была привлечена к уголовной ответственности за то, что была членом организации. В свою защиту женщина утверждала, что ее связь с организацией защищена Первой поправкой к Конституции. Что из перечисленного потребуется доказать обвинению, чтобы преодолеть эту защиту?"
636,"Полагая, что она беременна, женщина обратилась к врачу, лицензированному гинекологу, потому что хотела сделать аборт. Врач осмотрел ее и определил, что она не беременна, но решил, что он скажет ей об этом, чтобы заработать свои 500 долларов гонорара. Получив 500 долларов, врач добился госпитализации женщины, ложно сообщив руководству больницы, что у нее доброкачественная опухоль матки, которую он собирался удалить. Он выполнил все хирургические процедуры, необходимые для прерывания беременности, в надлежащих гигиенических условиях, но у женщины началось кровотечение, и она умерла. Врач должен быть признан виновным в"
637,"После того, как жена узнала об измене своего мужа, она решила его убить. Обвиняемый обратился к наемному убийце с просьбой о помощи в осуществлении запланированного убийства. Хотя жена считала, что он был наемным убийцей, на самом деле он был агентом под прикрытием. Жена сказала тайному агенту, что заплатит ему 20 000 долларов, если он согласится на эту работу, и еще 20 000 долларов после завершения убийства. Услышав предложение жены, тайный агент сказал жене, что убьет ее мужа. Однако тайный агент втайне намеревался отказаться от этого плана и просто притворился, что согласен, потому что хотел заманить жену в ловушку. Жена сказала тайному агенту, что доставит первый платеж на следующий день. Однако, прежде чем внести первоначальный взнос, жена узнала, что наемный убийца на самом деле был агентом под прикрытием. Опасаясь, что ее могут привлечь к ответственности за планирование убийства мужа, жена обратилась в полицию и отказалась от своего участия в преступной деятельности. Скорее всего, обвиняемый будет найден"
638,"Водитель грузовика из штата А и водитель автобуса из штата В столкнулись в штате В, в результате чего водитель грузовика получил травму. Водитель грузовика подал федеральный иск о защите прав человека в штате В на основании халатности, требуя от водителя автобуса возмещения ущерба в размере 100 000 долларов. Какой закон о халатности должен применять суд?"
639,"Водитель грузовика из штата А и водитель автобуса из штата В столкнулись в штате В, в результате чего водитель грузовика получил травму. Водитель грузовика подал федеральный иск о защите прав человека в штате В на основании халатности, требуя от водителя автобуса возмещения ущерба в размере 100 000 долларов. Какой закон о халатности должен применять суд?"
640,"Студентка университета, гражданка штата А, считает, что ее университет нарушил федеральный закон, прекратив финансирование женской университетской волейбольной команды. Она подала в федеральный суд штата В иск против университета, некоммерческой корпорации, расположенной и зарегистрированной в штате В, и спортивного директора университета, гражданина штата В. Каков наилучший способ оказания помощи ответчикам?"
641,"Должник задолжал кредитору 750 долларов по старому долгу. 1 июля срок исковой давности по этому долгу был погашен. 1 августа должник столкнулся с кредитором на вечеринке и услышал, как тот рассказывал общим друзьям, что должник ""неплательщик, который зарабатывает на своих долгах"". ""Испытывая угрызения совести, должник обратился к кредитору и устно согласился выплатить ему долг в размере 750 долларов 1 сентября. Должник отказался выплатить кредитору обещанные 750 долларов 1 сентября. Если кредитор подаст в суд на должника с требованием взыскать долг в размере 750 долларов, что послужит самым веским основанием для того, чтобы устное обещание должника было неисполнимым?"
642,"Должник задолжал кредитору 750 долларов по старому долгу. 1 июля срок исковой давности по этому долгу был погашен. 1 августа должник столкнулся с кредитором на вечеринке и услышал, как тот рассказывал общим друзьям, что должник ""неплательщик, который зарабатывает на своих долгах"". ""Испытывая угрызения совести, должник обратился к кредитору и устно согласился выплатить ему долг в размере 750 долларов 1 сентября. Должник отказался выплатить кредитору обещанные 750 долларов 1 сентября. Если кредитор подаст в суд на должника с требованием взыскать долг в размере 750 долларов, что послужит самым веским основанием для того, чтобы устное обещание должника было неисполнимым?"
643,"Между заключением контракта и окончательным выполнением работ может пройти значительный период времени. Что касается этих контрактов, подлежащих исполнению, какой из приведенных ниже вариантов является наименее правильным?"
644,"14 ноября в 10:00 водитель вел свой автомобиль по Мейн-стрит. Когда водитель приближался к перекрестку Мейн-стрит и Первой авеню, перед ним внезапно появился автомобилист, который ехал прямо на красный сигнал светофора. Пытаясь объехать автомобилиста, водитель выехал на тротуар. Машина угодила в глубокую яму на тротуаре. Эта яма была вырыта строительной компанией, которая ранее днем ремонтировала прорыв водопровода. Строительная компания была нанята местным муниципальным управлением водоснабжения. Хотя строительная компания установила предупреждающий знак, предупреждающий пешеходов о яме, вокруг нее не было ограждения или барьера. Когда машина водителя провалилась в яму, прорвало водопровод, и автомобиль залило водой. Через короткое время водитель, не сумев спастись, утонул в своей машине, которая быстро наполнялась водой. В иске о причинении смерти по неосторожности, поданном имуществом водителя против муниципального департамента водоснабжения, имущество, скорее всего, будет"
645,"Старший юрист юридической фирмы проводил выборочную проверку других сотрудников, когда они выходили из офиса, чтобы определить, кто взял некоторые документы, пропавшие из библиотеки фирмы. Молодой сотрудник выходил из своего офиса, когда его остановил обвиняемый и попросил его открыть портфель. Старший юрист объяснил, что из адвокатской конторы были украдены некоторые файлы. Испуганный молодой юрист не позволил старшему юристу заглянуть в его портфель. Молодой юрист сказал, что в его портфеле были личные документы, и он не хотел, чтобы старший юрист их видел. Заподозрив неладное, старший юрист поднял сжатый кулак и воскликнул: ""Если ты не отдашь этот портфель, я дам тебе по зубам. "" Молодой сотрудник, который, без ведома старшего сотрудника, страдал серьезным заболеванием сердца, перенес сердечный приступ и скончался в результате испуга, вызванного угрозой нападения. Какое из перечисленных ниже преступлений является наиболее тяжким, в совершении которого старший сотрудник должен быть признан виновным?"
646,"Старший юрист юридической фирмы проводил выборочную проверку других сотрудников, когда они выходили из офиса, чтобы определить, кто взял некоторые документы, пропавшие из библиотеки фирмы. Молодой сотрудник выходил из своего офиса, когда его остановил обвиняемый и попросил его открыть портфель. Старший юрист объяснил, что из адвокатской конторы были украдены некоторые файлы. Испуганный молодой юрист не позволил старшему юристу заглянуть в его портфель. Молодой юрист сказал, что в его портфеле были личные документы, и он не хотел, чтобы старший юрист их видел. Заподозрив неладное, старший юрист поднял сжатый кулак и воскликнул: ""Если ты не отдашь этот портфель, я дам тебе по зубам. "" Молодой сотрудник, который, без ведома старшего сотрудника, страдал серьезным заболеванием сердца, перенес сердечный приступ и скончался в результате испуга, вызванного угрозой нападения. Какое из перечисленных ниже преступлений является наиболее тяжким, в совершении которого старший сотрудник должен быть признан виновным?"
647,"Женщине в правый глаз попал осколок стекла, когда ее автомобиль задел грузовой автомобиль промышленного назначения. Она была госпитализирована, потеряла глаз и в течение нескольких лет перенесла несколько операций. Она не смогла вернуться к работе в качестве ученицы балерины из-за потери координации движений, постоянных головных болей и серьезных увечий. Она считается полной инвалидкой. Она много лет готовилась к занятиям балетом и на судебном процессе против истязателя доказала, что считалась способной и неподходящей ученицей. Обвиняемая утверждала, что вопрос о том, добилась ли бы она успеха, все еще остается спорным. Суд первой инстанции не согласился с этим и принял к сведению доказательства о потере трудоспособности танцовщицы балета. Жюри присудило 3 миллиона долларов. Вероятно ли, что апелляционный суд отменит вердикт из-за проблемы с потерей трудоспособности?"
648,"Женщине в правый глаз попал осколок стекла, когда ее автомобиль задел грузовой автомобиль промышленного назначения. Она была госпитализирована, потеряла глаз и в течение нескольких лет перенесла несколько операций. Она не смогла вернуться к работе в качестве ученицы балерины из-за потери координации движений, постоянных головных болей и серьезных увечий. Она считается полной инвалидкой. Она много лет готовилась к занятиям балетом и на судебном процессе против истязателя доказала, что считалась способной и неподходящей ученицей. Обвиняемая утверждала, что вопрос о том, добилась ли бы она успеха, все еще остается спорным. Суд первой инстанции не согласился с этим и принял к сведению доказательства о потере трудоспособности танцовщицы балета. Жюри присудило 3 миллиона долларов. Вероятно ли, что апелляционный суд отменит вердикт из-за проблемы с потерей трудоспособности?"
649,"Обвиняемая, медсестра в доме престарелых, обвиняется в убийстве жительницы этого дома путем добавления предположительно смертельного вещества в пищу жительницы. На суде, чтобы доказать, что вещество, добавленное в пищу жителя, могло привести к смерти, прокурор, предварительно не вызвав свидетелей, предлагает зачитать в качестве доказательства несколько страниц из стандартного медицинского трактата, подтверждающего утверждение обвинения о том, что вещество, добавленное подсудимым в пищу, является смертельным. Являются ли представленные доказательства приемлемыми?"
